id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2366774,TRUE,0.322
297,Springer Science and Business Media LLC,1702245,TRUE,0.251
311,Wiley,802213,TRUE,0.274
301,Informa UK Limited,698170,TRUE,0.195
1968,MDPI AG,679991,TRUE,0.554
263,Institute of Electrical and Electronics Engineers (IEEE),666073,TRUE,0.382
7566,ENCODE Data Coordination Center,398490,FALSE,0
286,Oxford University Press (OUP),284852,TRUE,0.249
1121,JSTOR,277734,FALSE,0
1965,Frontiers Media SA,255094,TRUE,0.362
1086,American Association for Cancer Research (AACR),253995,TRUE,0.017
374,Walter de Gruyter GmbH,253683,TRUE,0.017
179,SAGE Publications,199873,TRUE,0.262
276,Ovid Technologies (Wolters Kluwer Health),189669,TRUE,0.024
316,American Chemical Society (ACS),179428,TRUE,0.761
8761,Research Square Platform LLC,177646,TRUE,0.004
266,IOP Publishing,170830,TRUE,0.18
56,Cambridge University Press (CUP),144803,TRUE,0.051
3145,Copernicus GmbH,123268,TRUE,0.116
246,Cold Spring Harbor Laboratory,113353,TRUE,0.008
98,Hindawi Limited,108076,TRUE,0.513
292,Royal Society of Chemistry (RSC),102679,TRUE,0.762
9060,Egypts Presidential Specialized Council for Education and Scientific Research,90730,FALSE,0
242,CABI Publishing,88041,FALSE,0
194,Georg Thieme Verlag KG,79871,TRUE,0.049
2984,Bloomsbury Academic,77904,FALSE,0
320,Association for Computing Machinery (ACM),76104,TRUE,0.395
239,BMJ,73716,TRUE,0.242
140,Emerald,72419,TRUE,0.001
15934,Center for Open Science,66288,FALSE,0
317,AIP Publishing,64071,TRUE,0.402
1963,Organisation for Economic Co-Operation and Development (OECD),63383,FALSE,0
3821,Nomos Verlag,60225,TRUE,0
2273,CAIRN,52343,FALSE,0
189,SPIE-Intl Soc Optical Eng,51907,TRUE,0.016
16,American Physical Society (APS),49151,TRUE,0.9
2399,OpenEdition,48891,TRUE,0.003
530,FapUNIFESP (SciELO),48331,TRUE,0
340,Public Library of Science (PLoS),48208,TRUE,0.688
2581,Medknow,48172,TRUE,0
219,World Scientific Pub Co Pte Ltd,44731,TRUE,0.217
50,Brill,44533,TRUE,0.012
250,EDP Sciences,44262,TRUE,0.071
2258,Pensoft Publishers,40733,TRUE,0.026
2432,IGI Global,38824,FALSE,0
378,Inderscience Publishers,38275,FALSE,0
147,Project Muse,37002,TRUE,0
285,Optica Publishing Group,35447,TRUE,0.539
137,Pleiades Publishing Ltd,33918,FALSE,0
4694,Sciencedomain International,32560,FALSE,0
1574,Atlantis Press SARL,32145,TRUE,0.031
7763,Worldwide Protein Data Bank,30992,FALSE,0
965,Bentham Science Publishers Ltd.,30571,TRUE,0.188
15,American Psychological Association (APA),28192,TRUE,0.261
11875,Even3,27612,FALSE,0
9818,Atena Editora Edição de Livros Ltda,26848,FALSE,0
16089,Brill Deutschland GmbH,25754,TRUE,0.002
2918,Edward Elgar Publishing,25108,FALSE,0
4945,Hans Publishers,24607,FALSE,0
30764,South Florida Publishing LLC,23910,FALSE,0
33,ASME International,23860,TRUE,0.144
28402,VDI Verlag GmbH,23317,FALSE,0
278,Mary Ann Liebert Inc,23168,FALSE,0
17914,Publishing House Helvetica (Publications),22890,FALSE,0
4492,"Cureus, Inc.",22847,FALSE,0
1387,American Institute of Aeronautics and Astronautics (AIAA),22561,TRUE,0.103
5471,Transcript Verlag,22127,FALSE,0
7437,IOS Press,22010,FALSE,0
221,American Association for the Advancement of Science (AAAS),21912,TRUE,0.137
9829,"Authorea, Inc.",21006,FALSE,0
19099,"Research, Society and Development",20973,FALSE,0
1010,JMIR Publications Inc.,20851,TRUE,0
4443,PeerJ,19756,TRUE,0.222
13,American Geophysical Union (AGU),19439,TRUE,0.601
7834,United Nations Publications,19434,FALSE,0
233,American Society of Clinical Oncology (ASCO),19177,TRUE,0.717
10,American Medical Association (AMA),18977,FALSE,0
8611,AME Publishing Company,18772,FALSE,0
265,Institution of Engineering and Technology (IET),18578,TRUE,0.19
2751,"Scientific Research Publishing, Inc.",18261,FALSE,0
5130,Mark Allen Group,17884,TRUE,0.001
27842,"Chongqing VIP Information Co.,Ltd.",17392,FALSE,0
18300,Ryerson University Library and Archives,17128,FALSE,0
30,American Society of Civil Engineers (ASCE),16656,FALSE,0
17106,The Russian Academy of Sciences,16411,TRUE,0
30861,Radiopaedia Australia Pty Ltd,16342,FALSE,0
6055,Verlag C.H.Beck oHG,16161,FALSE,0
77,The Electrochemical Society,16120,TRUE,0.192
235,American Society for Microbiology,15915,TRUE,0.776
165,Bristol University Press,15812,TRUE,0.008
3774,IntechOpen,15594,FALSE,0
234,American Society of Hematology,15467,FALSE,0
4374,"eLife Sciences Publications, Ltd",15409,TRUE,0.287
127,S. Karger AG,15345,FALSE,0
200,University of Chicago Press,15047,TRUE,0.001
4950,Faculty Opinions Ltd,14401,FALSE,0
281,MIT Press,14234,TRUE,0.045
4802,Verlag Dr. Otto Schmidt,13945,FALSE,0
2393,University of Michigan Library,13414,FALSE,0
4035,Diva Enterprises Private Limited,13394,FALSE,0
960,Office of Scientific and Technical Information (OSTI),12939,TRUE,0.044
408,University of California Press,12852,TRUE,0
2208,American Astronomical Society,12783,TRUE,0.572
7832,NYU Press,12569,FALSE,0
257,Geological Society of America,12439,FALSE,0
19,American Thoracic Society,12362,TRUE,0.077
2321,American Institute of Mathematical Sciences (AIMS),11846,FALSE,0
73,Duke University Press,11629,FALSE,0
28750,CMV Verlag,11340,FALSE,0
17262,Qeios Ltd,11268,FALSE,0
8703,IATED Academy,11090,FALSE,0
861,Society of Petroleum Engineers (SPE),10977,FALSE,0
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),10962,FALSE,0
7078,"ZappyLab, Inc.",10808,FALSE,0
23359,Omniscient Pte Ltd,10782,FALSE,0
1696,University of Toronto Press Inc. (UTPress),10410,FALSE,0
7570,Medip Academy,10255,FALSE,0
7770,Knowledge E DMCC,10114,FALSE,0
1604,American Educational Research Association (AERA),10107,TRUE,0.022
81,European Respiratory Society (ERS),9971,TRUE,0.097
175,The Royal Society,9947,TRUE,0.531
341,Proceedings of the National Academy of Sciences,9412,TRUE,0.701
17807,"Computers, Materials and Continua (Tech Science Press)",9286,FALSE,0
30896,Universidad Tecnica de Manabi,9282,FALSE,0
2895,African Journals Online (AJOL),9250,FALSE,0
417,American Academy of Pediatrics (AAP),9143,FALSE,0
3171,INSTICC,9067,FALSE,0
4854,Publications Office of the European Union,8861,TRUE,1
9531,AkiNik Publications,8810,FALSE,0
3433,Academy of Management,8805,FALSE,0
4913,Magnolia Press,8763,FALSE,0
5164,Yale University Press,8763,FALSE,0
2457,"Trans Tech Publications, Ltd.",8636,FALSE,0
124,Japan Society of Mechanical Engineers,8553,FALSE,0
4194,Consortium Erudit,8529,FALSE,0
