id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2279668,TRUE,0.3435180034987551
297,Springer Science and Business Media LLC,1077823,TRUE,0.4045617879744633
1968,MDPI AG,676294,TRUE,0.5811451824206632
311,Wiley,628371,TRUE,0.3575849299219728
301,Informa UK Limited,366223,TRUE,0.3848556753671943
1965,Frontiers Media SA,257353,TRUE,0.3677322588040551
286,Oxford University Press (OUP),221778,TRUE,0.3309480651822994
263,Institute of Electrical and Electronics Engineers (IEEE),218974,TRUE,0.6928813466438938
276,Ovid Technologies (Wolters Kluwer Health),191629,TRUE,0.02416126995392138
179,SAGE Publications,190728,TRUE,0.2864288410721027
266,IOP Publishing,169848,TRUE,0.1870378220526588
316,American Chemical Society (ACS),166139,TRUE,0.8194644243675477
98,Hindawi Limited,103891,TRUE,0.540383671347855
292,Royal Society of Chemistry (RSC),102892,TRUE,0.7859114411227306
9060,Egypts Presidential Specialized Council for Education and Scientific Research,94484,FALSE,0
242,CABI Publishing,84600,FALSE,0
56,Cambridge University Press (CUP),71390,TRUE,0.0906709623196526
374,Walter de Gruyter GmbH,65094,TRUE,0.07456908470826804
239,BMJ,55683,TRUE,0.3325431460230232
194,Georg Thieme Verlag KG,53662,TRUE,0.07651597033282397
16,American Physical Society (APS),50598,TRUE,0.9038104272896162
2581,Medknow,50370,TRUE,3.970617431010522e-5
340,Public Library of Science (PLoS),49727,TRUE,0.6876344842841917
530,FapUNIFESP (SciELO),46558,TRUE,1.503501009493535e-4
140,Emerald,46149,TRUE,0.001040109211467204
250,EDP Sciences,43308,TRUE,0.07559804193220653
2273,CAIRN,41624,FALSE,0
378,Inderscience Publishers,39476,FALSE,0
147,Project MUSE,37610,TRUE,1.595320393512364e-4
137,Pleiades Publishing Ltd,35518,FALSE,0
317,AIP Publishing,35473,TRUE,0.7504299044343585
2399,OpenEdition,33326,TRUE,0.001080237652283502
1086,American Association for Cancer Research (AACR),28365,TRUE,0.1618896527410541
965,Bentham Science Publishers Ltd.,26547,TRUE,0.219459825969036
4945,Hans Publishers,25996,FALSE,0
219,World Scientific Pub Co Pte Ltd,24783,TRUE,0.4062058669249082
278,Mary Ann Liebert Inc,23831,FALSE,0
17914,Publishing House Helvetica (Publications),23748,FALSE,0
285,Optica Publishing Group,23395,TRUE,0.84590724513785
30764,South Florida Publishing LLC,23072,FALSE,0
4492,"Cureus, Inc.",22847,FALSE,0
4694,Sciencedomain International,22669,FALSE,0
19099,"Research, Society and Development",21250,FALSE,0
28402,VDI Verlag GmbH,20906,FALSE,0
15,American Psychological Association (APA),20783,TRUE,0.3661646538035895
13,American Geophysical Union (AGU),20026,TRUE,0.6002696494557076
10,American Medical Association (AMA),19579,FALSE,0
8611,AME Publishing Company,19191,FALSE,0
2751,"Scientific Research Publishing, Inc.",18898,FALSE,0
