id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,477706,TRUE,0
1086,American Association for Cancer Research (AACR),324949,TRUE,0
246,Cold Spring Harbor Laboratory,160456,TRUE,0.100432517325622
297,Springer Science and Business Media LLC,140344,TRUE,0.01230547796842045
3145,Copernicus GmbH,85592,TRUE,0.1123352649780353
1968,MDPI AG,76717,TRUE,0
15934,Center for Open Science,72482,FALSE,0
8761,Research Square Platform LLC,69179,FALSE,0
54080,The Conversation,56496,FALSE,0
311,Wiley,43883,TRUE,0
316,American Chemical Society (ACS),26153,TRUE,0.368600160593431
263,Institute of Electrical and Electronics Engineers (IEEE),16665,TRUE,0
1010,JMIR Publications Inc.,14871,FALSE,0
18300,Ryerson University Library and Archives,13029,FALSE,0
31795,Front Matter,11018,TRUE,6.353240152477764e-4
37393,Staatliche Kunstsammlungen Dresden,9524,FALSE,0
4374,"eLife Sciences Publications, Ltd",8620,TRUE,0.0351508120649652
22980,Morressier GmbH,5113,FALSE,0
8674,Universitas Muhammadiyah Sidoarjo,4936,TRUE,0
17262,Qeios Ltd,4689,FALSE,0
29705,California Digital Library (CDL),4684,FALSE,0
285,Optica Publishing Group,4456,TRUE,0
257,Geological Society of America,3128,FALSE,0
7078,"ZappyLab, Inc.",2610,FALSE,0
56,Cambridge University Press (CUP),2539,TRUE,0.05001969279243797
1167,American Diabetes Association,2356,TRUE,0
530,FapUNIFESP (SciELO),2252,TRUE,0
30676,Cassyni,2218,TRUE,0.2100991884580703
33966,Open Engineering Inc,2131,FALSE,0
37285,Polygence,1856,FALSE,0
5403,ScienceOpen,1407,TRUE,0.08528784648187633
179,SAGE Publications,1305,TRUE,0
242,CABI Publishing,1278,TRUE,0.002347417840375587
345,Microbiology Society,1275,TRUE,0.4729411764705882
861,Society of Petroleum Engineers (SPE),1079,FALSE,0
12730,Karolinska Institutet,947,FALSE,0
26239,Applied Energy Innovation Institute (AEii),863,FALSE,0
11875,Even3,824,FALSE,0
10196,NPG Publishing,756,FALSE,0
25732,Universitatsbibliothek Bamberg,679,TRUE,0
3992,The Society of Naval Architects and Marine Engineers,676,FALSE,0
2258,Pensoft Publishers,559,TRUE,0
31336,Fund Science and Culture Support Centre,537,FALSE,0
9794,Society for Artistic Research,523,FALSE,0
5801,The Hong Kong University of Science and Technology Library,511,FALSE,0
53665,Faculti Media Limited,457,FALSE,0
2560,F1000 Research Ltd,417,TRUE,1
18353,Dominican University of California,371,FALSE,0
54037,New Left Review,367,FALSE,0
237,The Company of Biologists,366,TRUE,0
28200,"Society for Transparency, Openness, and Replication in Kinesiology",323,FALSE,0
8634,Russian Research Anti-Plague Institute Microbe,297,FALSE,0
14217,"Colorado College, Tutt Library",270,FALSE,0
7822,Test accounts,255,TRUE,0
19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),243,FALSE,0
22755,University of the Free State,238,FALSE,0
10286,Crossref,237,FALSE,0
7980,University of Southern Mississippi,236,FALSE,0
48802,Earthquake Insights,226,FALSE,0
3180,Amsterdam University Press,209,TRUE,0
49317,DeSci Labs AG,207,FALSE,0
2086,Beilstein Institut,201,TRUE,0
48409,Paideia Studio (publications),190,FALSE,0
9621,PubPub,182,FALSE,0
13290,University Goettingen,116,FALSE,0
53832,The Balagha Corpus,111,FALSE,0
54601,China Humanities Publishing House,108,FALSE,0
5183,American Society of Agricultural and Biological Engineers (ASABE),105,TRUE,0
8607,Federal Reserve Bank of Minneapolis,105,FALSE,0
14,American Mathematical Society (AMS),104,TRUE,0.5865384615384615
14073,University of Missouri Libraries,101,FALSE,0
7524,Wageningen University and Research,92,FALSE,0
10490,"Institute of Marine Engineering, Science and Technology (IMarEST)",87,FALSE,0
4043,EMBL-EBI,82,FALSE,0
8410,OAE Publishing Inc.,80,TRUE,0
10792,UNISA Press,76,TRUE,0.06578947368421054
5433,UCL Press,72,TRUE,0.2222222222222222
4923,Open Book Publishers,66,TRUE,0
34139,Deep Science,65,FALSE,0
77,The Electrochemical Society,62,TRUE,0
11508,"James P. Adams Library, Rhode Island College",55,FALSE,0
11293,The Royal Society of Tasmania,51,FALSE,0
22141,CALNESTOR Knowledge Solutions Private Limited,49,FALSE,0
11224,Victoria University of Wellington Library,48,FALSE,0
48263,"Center for Scientific Research and Development in Higher Education Institutes, Ministry of Education",47,FALSE,0
276,Ovid Technologies (Wolters Kluwer Health),40,TRUE,0
19348,Instituto Nacional de Salud - Direccion de Vigilancia y Analisis del Riesgo en Salud Publica,38,FALSE,0
27360,rScroll,38,FALSE,0
7597,Brepols Publishers NV,37,FALSE,0
38752,Universidad Estatal Amazónica,37,FALSE,0
2184,"Wolfram Research, Inc.",35,FALSE,0
48891,Sunrise International Education Inc.,35,FALSE,0
50945,CarbonPlan,35,FALSE,0
30474,North Carolina State University,34,FALSE,0
50417,"Institute of Mining, Ural Branch of the Russian Academy of Sciences",32,FALSE,0
2796,SAE International,30,FALSE,0
3774,IntechOpen,30,FALSE,0
53175,"Nexus Platforms, Inc.",28,FALSE,0
8901,AIJR Publisher,27,TRUE,0
33,ASME International,23,TRUE,0
35667,"University of Denver, University Libraries",23,FALSE,0
38766,The Institute of Reflective Investigations & Specialization,23,FALSE,0
37050,NDT.net GmbH & Co. KG,22,FALSE,0
32269,International Labour Organization,20,FALSE,0
6672,The University of Kansas,19,TRUE,1
6626,The University of Iowa,18,TRUE,0.05555555555555556
14238,Williams College,18,FALSE,0
3748,Purdue University Press,17,FALSE,0
2986,University of South Florida Libraries,16,FALSE,0
34163,Centre de Recherche de l'Institut Universitaire de Geriatrie de Montreal,16,FALSE,0
51602,Ideal Teachers' Training College,15,FALSE,0
8945,Rhodes University,14,FALSE,0
39174,Science Colab,14,FALSE,0
281,MIT Press,13,TRUE,0
27081,Professionals On Line SAC,13,FALSE,0
49114,Atomic Academia Ltd,13,FALSE,0
3842,Cellule MathDoc/Centre Mersenne,12,FALSE,0
26493,Tree of Evolution,12,FALSE,0
36756,SMW Supporting Association,12,TRUE,0
32260,Cabrera Research Lab,11,FALSE,0
33493,O P Jindal Global University,11,FALSE,0
38670,EYA Academy,11,FALSE,0
9592,Policia Nacional de Colombia,10,FALSE,0
11044,Federal Reserve Bank of Cleveland,10,FALSE,0
54014,Interactives Press Ltd,10,FALSE,0
39001,"The Journal of Emerging Investigators, Inc.",9,FALSE,0
33199,Peaceful Science,8,FALSE,0
33332,Berlin Exchange,7,FALSE,0
48717,Curvenote Inc.,7,TRUE,0.5714285714285714
230,American Psychiatric Association Publishing,6,TRUE,0
13980,Drexel University Libraries,6,TRUE,0
16862,San Jose State University Library,6,FALSE,0
23910,Editora Alumniin,6,FALSE,0
7569,University of Ottawa Library,5,FALSE,0
10597,Therapoid,5,FALSE,0
34961,Open Access India,5,FALSE,0
48087,Association of Medical and Pharmaceutical Law,5,FALSE,0
52951,SciPinion,5,FALSE,0
54657,Emerge Publications,5,FALSE,0
13,American Geophysical Union (AGU),4,TRUE,0
288,Portland Press Ltd.,4,TRUE,0
5558,Wesleyan University,4,FALSE,0
27794,Sekolah Tinggi Agama Buddha Nalanda,4,FALSE,0
36707,"NIA IMPACT Collaboratory at Marcus Institute for Aging Research, Hebrew SeniorLife",4,TRUE,1
38096,Bureau International des Poids et Mesures,4,FALSE,0
49210,European Structural Integrity Society (ESIS),4,FALSE,0
50958,Institute for Telecommunication Sciences,4,FALSE,0
52645,University Library Tuebingen,4,FALSE,0
1959,Linkoping University Electronic Press,3,TRUE,0
3846,Masaryk University Press,3,FALSE,0
14076,University of New Hampshire Libraries,3,FALSE,0
21583,Progettinrete Srl,3,TRUE,0
52388,Wild Animal Initiative,3,FALSE,0
53159,b.next,3,TRUE,0.6666666666666667
2868,SciELO Espana/Repisalud,2,FALSE,0
5401,University of Szeged,2,TRUE,0.5
