member,dois,has_funder_name,has_funder_fundref,has_funder_asserted_publisher,has_funder_asserted_crossref,pc_has_funder_name,pc_has_funder_fundref,pc_has_funder_asserted_publisher,pc_has_funder_asserted_crossref
78,1933547,841931,785012,762309,41330,43.5,40.6,39.4,2.1
297,920855,360069,290815,232411,88289,39.1,31.6,25.2,9.6
311,612667,215869,206797,204398,2536,35.2,33.8,33.4,0.4
1968,450521,198589,159184,159183,1,44.1,35.3,35.3,0.0
301,345598,108902,70417,60718,14393,31.5,20.4,17.6,4.2
266,211200,29942,25524,22793,5432,14.2,12.1,10.8,2.6
286,201556,67867,54775,52249,6400,33.7,27.2,25.9,3.2
263,192611,132579,112705,109328,5039,68.8,58.5,56.8,2.6
276,174510,5765,3077,316,2782,3.3,1.8,0.2,1.6
179,173173,47488,35383,31740,4798,27.4,20.4,18.3,2.8
1965,151985,59885,59861,59859,3,39.4,39.4,39.4,0.0
316,143623,118053,113808,112378,6630,82.2,79.2,78.2,4.6
292,94583,74378,74369,74369,0,78.6,78.6,78.6,0.0
56,70245,2277,1823,1751,72,3.2,2.6,2.5,0.1
98,67736,42299,34279,32423,1857,62.4,50.6,47.9,2.7
9060,66162,0,0,0,0,0.0,0.0,0.0,0.0
374,62174,2564,1861,25,1836,4.1,3.0,0.0,3.0
239,53348,15752,11416,9984,2519,29.5,21.4,18.7,4.7
194,49996,3855,2512,28,2486,7.7,5.0,0.1,5.0
16,47391,42617,41884,41811,979,89.9,88.4,88.2,2.1
250,45777,2581,1814,1212,868,5.6,4.0,2.6,1.9
340,44264,28268,22865,19353,6932,63.9,51.7,43.7,15.7
2581,43409,20,14,13,1,0.0,0.0,0.0,0.0
140,42592,51,36,35,4,0.1,0.1,0.1,0.0
530,40473,37,37,37,0,0.1,0.1,0.1,0.0
378,35966,0,0,0,0,0.0,0.0,0.0,0.0
147,34535,0,0,0,0,0.0,0.0,0.0,0.0
2273,33764,0,0,0,0,0.0,0.0,0.0,0.0
137,33472,7,6,6,0,0.0,0.0,0.0,0.0
317,31394,23171,21312,19879,3053,73.8,67.9,63.3,9.7
2399,27973,15,15,15,0,0.1,0.1,0.1,0.0
17106,27165,2,2,2,0,0.0,0.0,0.0,0.0
965,23509,5681,5649,5649,2,24.2,24.0,24.0,0.0
278,22708,20,18,18,0,0.1,0.1,0.1,0.0
219,21188,8087,5960,3474,2978,38.2,28.1,16.4,14.1
285,21130,17532,16984,16889,457,83.0,80.4,79.9,2.2
8611,19634,12,12,10,3,0.1,0.1,0.1,0.0
4694,18726,0,0,0,0,0.0,0.0,0.0,0.0
13,18398,11561,11561,11561,0,62.8,62.8,62.8,0.0
15,18381,6702,5396,3215,3173,36.5,29.4,17.5,17.3
19099,18050,0,0,0,0,0.0,0.0,0.0,0.0
233,17914,14143,2942,0,2942,78.9,16.4,0.0,16.4
10,17413,0,0,0,0,0.0,0.0,0.0,0.0
2751,17118,0,0,0,0,0.0,0.0,0.0,0.0
4492,16168,0,0,0,0,0.0,0.0,0.0,0.0
77,15906,3002,2479,2141,576,18.9,15.6,13.5,3.6
28402,15668,0,0,0,0,0.0,0.0,0.0,0.0
221,15630,5969,5689,5482,926,38.2,36.4,35.1,5.9
50,15539,113,33,3,30,0.7,0.2,0.0,0.2
7437,15322,19,16,15,1,0.1,0.1,0.1,0.0
4945,15045,0,0,0,0,0.0,0.0,0.0,0.0
5130,14989,18,17,16,1,0.1,0.1,0.1,0.0
127,14972,0,0,0,0,0.0,0.0,0.0,0.0
235,14133,10344,9653,9361,795,73.2,68.3,66.2,5.6
4035,13493,0,0,0,0,0.0,0.0,0.0,0.0
3145,13360,5285,5285,5285,0,39.6,39.6,39.6,0.0
234,13182,0,0,0,0,0.0,0.0,0.0,0.0
265,12507,4163,4159,4146,13,33.3,33.3,33.1,0.1
7570,11835,0,0,0,0,0.0,0.0,0.0,0.0
200,11686,46,33,30,6,0.4,0.3,0.3,0.1
2208,11613,5859,4479,2657,2142,50.5,38.6,22.9,18.4
